Year,Country,Name,Age,Hometown,National Title,Date,Entrants,Page URL,Bio
1974,Spain,Amparo Muñoz † [b][24],20,Vélez-Málaga,Miss España 1973,"July 19, 1974",65,/wiki/Amparo_Mu%C3%B1oz,"Amparo Muñoz y Quesada (21 June 1954 – 27 February 2011) was a Spanish actress, model and beauty queen who won the Miss Universe 1974 competition in Manila, Philippines, being the first and only Spaniard Miss Universe titleholder thus far."
1975,Finland,Anne Marie Pohtamo[25],19,Helsinki,Miss Suomi 1975,"July 19, 1975",71,/wiki/Anne_Marie_Pohtamo,"Anne Marie Pohtamo (born 15 August 1955) is a Finnish actress, model and beauty queen who was the second woman from Finland to capture the Miss Universe crown. She claimed the Miss Universe crown in 1975 at the pageant held in El Salvador.[citation needed]"
1976,Israel,Rina Messinger[26],20,Kiryat Tiv'on,Miss Israel 1976,"July 11, 1976",72,/wiki/Rina_Mor,"Rina Mor-Goder (Hebrew: רינה מור-גודר; née Messinger; February 16, 1956) is an Israeli lawyer, writer and beauty queen who was crowned Miss Universe 1976."
1977,Trinidad and Tobago,Janelle Commissiong[27],24,Port of Spain,Miss Trinidad & Tobago 1977,"July 16, 1977",80,/wiki/Janelle_Commissiong,"Janelle ""Penny"" Commissiong, TC (born June 15, 1953) is a Trinidadian politician, model and beauty queen who was crowned Miss Universe 1977."
1978,South Africa,Margaret Gardiner[28],18,Cape Town,Miss Republic of South Africa 1978,"July 24, 1978",75,/wiki/Margaret_Gardiner_(Miss_Universe),"Margaret Gardiner (born 21 August 1959) is a South African journalist and beauty queen who was the winner of the Miss Universe 1978, the first South African woman to win the Miss Universe title. She was 18 years old when she won the pageant.  After the three semi-final competitions, she entered the five finalists in fourth place, but ended up winning the pageant after answering the final question."
1979,Venezuela,Maritza Sayalero[29],18,Caracas,Miss Venezuela 1979,"July 20, 1979",75,/wiki/Maritza_Sayalero,"Maritza Sayalero Fernández (born February 16, 1961 in Caracas) is a Venezuelan designer, model, businesswoman and beauty queen. In 1979, she was crowned both Miss Venezuela and Miss Universe, the first woman from Venezuela to win this title. She is married to retired tennis player Raúl Ramírez, with whom she has lived in Mexico since 1981."
1980,United States,Shawn Weatherly[30],20,Sumter,Miss USA 1980,"July 8, 1980",69,/wiki/Shawn_Weatherly,"Shawn Nichols Weatherly is an American actress and beauty queen who won the titles of Miss USA and Miss Universe in 1980. She went on to star as Cadet Karen Adams in the film Police Academy 3: Back in Training (1986), and as Jill Riley in the first season of the TV series Baywatch (1989–90)."
1981,Venezuela,Irene Sáez[31],19,Caracas,Miss Venezuela 1981,"July 20, 1981",76,/wiki/Irene_S%C3%A1ez,"Irene Lailin Sáez Conde (born 13 December 1961 in Chacao, Miranda, Venezuela) is a Venezuelan politician and beauty queen who was crowned Miss Universe 1981. She has been a model, was the mayor of Chacao (a municipality of Caracas), Governor of the state of Nueva Esparta and a former presidential candidate."
1982,Canada,Karen Baldwin[32],18,London,Miss Canada 1982,"July 26, 1982",77,/wiki/Karen_Dianne_Baldwin,"Karen Dianne Baldwin (born September 6, 1963) is a Canadian actress, TV host and beauty queen who was crowned Miss Universe 1982. She is the first Canadian to win the Miss Universe title."
1983,New Zealand,Lorraine Downes[33],19,Auckland,Miss New Zealand 1983,"July 11, 1983",80,/wiki/Lorraine_Downes,Lorraine Elizabeth Downes (born 12 June 1964) is a New Zealand dancer and beauty queen who won the Miss Universe title in 1983 and the New Zealand version of the reality TV show Dancing with the Stars in 2006.
1984,Sweden,Yvonne Ryding[34],21,Eskilstuna,Miss Sweden 1984,"July 9, 1984",81,/wiki/Yvonne_Ryding,"Yvonne Agneta Ryding (born 14 December 1962, in Eskilstuna, Södermanland) is a Swedish dancer, model, TV Host and beauty queen who was crowned Miss Universe 1984 on 9 July 1984. She is the third Swede in history to win the title, and the most recent one."
1985,Puerto Rico,Deborah Carthy-Deu[35],19,San Juan,Miss Puerto Rico 1985,"July 15, 1985",79,/wiki/Deborah_Carthy-Deu,"Deborah Fatima Carthy-Deu (born January 5, 1966) is a Puerto Rican actress, TV host and beauty queen. She was the second Puerto Rican  Miss Universe"
1986,Venezuela,Bárbara Palacios[36],22,Caracas,Miss Venezuela 1986,"July 21, 1986",77,/wiki/B%C3%A1rbara_Palacios,"Bárbara Palacios Teyde de Manrique (born December 9, 1963) is a Venezuelan TV host, writer, Christian preacher and beauty queen. She is the third woman from Venezuela to win the Miss Universe pageant  on 21 July 1986 held in Panama."
1987,Chile,Cecilia Bolocco[37],22,Santiago,Miss Chile 1987,"May 27, 1987",68,/wiki/Cecilia_Bolocco,"Cecilia Carolina Bolocco Fonck (born May 19, 1965) is a Chilean actress, TV host, and beauty queen who was crowned Miss Universo Chile 1987 and Miss Universe 1987."
1988,Thailand,Porntip Nakhirunkanok[38],20,Bangkok,Miss Thailand 1988,"May 24, 1988",66,/wiki/Bui_Simon,"Bui Simon (born Porntip Nakhirunkanok (Thai: ภรณ์ทิพย์ นาคหิรัญกนก; RTGS: Phonthip Nakhirankanok; pronounced [pʰɔ̄ːn.tʰíp nâːk.hì.rān.kā.nòk]); February 7, 1969) is a Thai-American personality, philanthropist and beauty queen who was crowned Miss Universe 1988. Simon is president and founder of the Angels Wings Foundation. She is on the Board of Regents of Pepperdine University, the Board of the Children's Museum of Indianapolis as a Distinguished Advisor and also is on the Board of Governors for the Dream Foundation."
1989,Netherlands,Angela Visser[39],22,Rotterdam,Miss Holland 1988,"May 23, 1989",76,/wiki/Angela_Visser,"Angela Visser (born 18 October 1966) is a Dutch actress, model and beauty queen who was crowned Miss Universe 1989. She was the first Dutch woman to win the title of the Miss Universe in 1989. Visser, who had previously worked as a model and beautician, was crowned Miss Holland in August 1988."
1990,Norway,Mona Grudt[40],19,Trondheim,Norske Miss Universe 1990,"April 15, 1990",71,/wiki/Mona_Grudt,"Mona Grudt (born 6 April 1971) is a Norwegian television presenter, model, editor and beauty queen who was crowned Miss Universe 1990. She is so far the only Norwegian to capture the Miss Universe title."
1991,Mexico,Lupita Jones[41],23,Mexicali,Señorita México 1990,"May 17, 1991",73,/wiki/Lupita_Jones,"María de Guadalupe ""Lupita"" Jones Garay (Spanish pronunciation: [luˈpita ˈʝowns], [ʝons]; born 6 September 1967) is a Mexican television producer, model, actress, and beauty queen who was crowned Miss Universe 1991. She was the first Mexican contestant for the first time to win all mayor international beauty pageants."
1992,Namibia,Michelle McLean[42],19,Windhoek,Miss Namibia 1991,"May 9, 1992",78,/wiki/Michelle_McLean,"Michelle McLean (born 31 July 1972) is a Namibian actress, writer, model and beauty queen who was crowned Miss Universe 1992 at Thailand. McLean was 19 years old when she was crowned Miss Universe, and became the first Namibian woman to win the title. McLean had been crowned Miss Namibia 1991 before Miss Universe, and also placed as the fourth runner-up at Miss World 1991."
1993,Puerto Rico,Dayanara Torres[43],18,Toa Alta,Miss Puerto Rico 1993,"May 21, 1993",79,/wiki/Dayanara_Torres,"Dayanara Torres Delgado (born October 28, 1974) is a Puerto Rican actress, singer, model, writer and beauty queen who won Miss Universe 1993."
1994,India,Sushmita Sen[44],18,New Delhi,Femina Miss India 1994,"May 21, 1994",77,/wiki/Sushmita_Sen,"Sushmita Sen (born 19 November 1975) is an Indian actress, model and the winner of the Miss Universe 1994 pageant. She is the first Indian to win the Miss Universe pageant. She was previously crowned Femina Miss India 1994 at the age of 18. After winning the Miss Universe pageant, she has worked as a film actress."
1995,United States,Chelsi Smith † [b][45],21,Deer Park,Miss USA 1995,"May 12, 1995",82,/wiki/Chelsi_Smith,"Chelsi Mariam Pearl Smith (August 23, 1973 – September 8, 2018) was an American actress, singer, television host and beauty queen who was crowned Miss USA 1995 and Miss Universe 1995. Smith was the third Miss USA of African-American origin, after Carole Gist (1990) and Kenya Moore (1993), in addition to being the sixth American woman to win Miss Universe and the first since Shawn Weatherly was crowned Miss Universe 1980."
1996,Venezuela,Alicia Machado[46],19,Maracay,Miss Venezuela 1995,"May 17, 1996",79,/wiki/Alicia_Machado,"Yoseph Alicia Machado Fajardo (Spanish pronunciation: [aˈlisja maˈtʃaðo]; born December 6, 1976) is a Venezuelan-American actress, TV host, singer and beauty queen who was Miss Venezuela 1995 and then Miss Universe 1996. She was the fourth woman from Venezuela to be named Miss Universe."
1997,United States,Brook Lee[47],26,Pearl City,Miss USA 1997,"May 16, 1997",74,/wiki/Brook_Lee,"Brook Antoinette Mahealani Lee (born January 8, 1971) is an American former beauty queen who was crowned Miss Hawaii USA 1997, Miss USA 1997, and Miss Universe 1997. Lee is the first native Hawaiian to win the title of Miss Universe."
1998,Trinidad and Tobago,Wendy Fitzwilliam[48],25,Diego Martin,Miss Trinidad and Tobago 1998,"May 12, 1998",81,/wiki/Wendy_Fitzwilliam,"Wendy Marcelle Fitzwilliam (born 4 October 1972) is a Trinidadian lawyer, actress, model, singer, TV Host and beauty queen who won Miss Trinidad and Tobago Universe 1998 became the second Miss Universe in history from Trinidad and Tobago and was the third woman of African heritage to capture the Miss Universe crown."
1999,Botswana,Mpule Kwelagobe,19,Gaborone,Miss Universe Botswana 1999,"May 26, 1999",84,/wiki/Mpule_Kwelagobe,"Mpule Keneilwe Kwelagobe (born 14 November 1979) is a Motswana investor, businesswoman, model, and beauty queen who was crowned Miss Universe 1999. She was the first black African woman to win one of the Big Four international beauty pageants, the first woman from Botswana to win, and the first from a nation making their debut in nearly four decades. Kwelagobe had previously been crowned Miss Botswana 1997 and Miss Universe Botswana 1999, and competed in Miss World 1997."
2000,India,Lara Dutta[49],22,Mumbai,Femina Miss India 2000,"May 12, 2000",79,/wiki/Lara_Dutta,"Lara Dutta (born 16 April 1978) is an Indian actress, entrepreneur and the winner of the Miss Universe 2000 pageant. She was previously crowned as Miss Intercontinental 1997. In her career, she has primarily worked in Hindi films. She is the recipient of several accolades including a Filmfare Award. She established herself as one of the prominent leading ladies of the 2000s."
2001,Puerto Rico,Denise Quiñones[50],20,Lares,Miss Puerto Rico Universe 2001,"May 11, 2001",77,/wiki/Denise_Qui%C3%B1ones,"Denise Marie Quiñones August (born 9 September 1980) is a Puerto Rican actress, model and beauty queen who was crowned Miss Universe 2001. Prior to winning the Miss Universe pageant, she represented her hometown of Lares in the Miss Puerto Rico Universe 2001 pageant."
2002,Russia,Oxana Fedorova[c],24,Pskov,Miss Russia 2001,"May 29, 2002",75,/wiki/Oxana_Fedorova,"Oksana Gennadyevna Borodina (Russian: Оксана Геннадьевна Бородина, romanized: Oksana Gennad'yevna Borodina; née Fedorova, Russian: Фёдорова, romanized: Fyodorova; born 17 December 1977), known professionally as Oxana Fedorova, is a Russian television presenter, singer, actress, fashion designer, model and beauty queen. Outside of her career in the entertainment industry, Fedorova is a former police officer."
